Comb_id	GeneA	GeneB
OLI001	ALAD	CPO
OLI002	BMPR2	NOTCH3
OLI007	KAT2B	ADD3
OLI008	SLC34A1	SLC34A3
OLI009	TEK	CYP1B1
OLI010	TEK	CYP1B1
OLI011	TEK	CYP1B1
OLI012	TEK	CYP1B1
OLI013	GJB2	TMPRSS3
OLI014	WDR11	PROKR2
OLI015	ATP6V0A4	ATP6V1B1
OLI016	ANO5	COL6A2
OLI018	RNF216	SRA1
OLI019	FGFR1	POLR3A
OLI021	GDNF	RET
OLI022	TIA1	SQSTM1
OLI023	NRXN1	NRXN2
OLI024	MSH6	MUTYH
OLI026	MEFV	TRAP1
OLI028	WNT9B	GEN1
OLI030	FGB	FGA
OLI032	DUOX2	DUOX1
OLI033	COL4A5	COL4A4
OLI035	EDNRB	RET
OLI036	FGFR1	PROKR2
OLI038	BBS1	CCDC28B
OLI039	BBS1	CCDC28B
OLI040	DUOX2	DUOX1
OLI044	CNGB3	CNGA3
OLI046	CNGB3	CNGA3
OLI047	CNGB3	CNGA3
OLI048	CNGB3	CNGA3
OLI050	CNGB3	CNGA3
OLI052	PRF1	STX11
OLI053	STXBP2	UNC13D
OLI055	PRF1	UNC13D
OLI058	PRF1	UNC13D
OLI062	BBS1	BBS4
OLI065	BBS1	BBS2
OLI067	BBS2	MKKS
OLI068	MYH7	LAMA4
OLI074	S100A13	S100A3
OLI075	FGFR1	SEMA3A
OLI077	EMD	LMNA
OLI090	REC8	GDF9
OLI091	GALT	FOXL2
OLI093	NOBOX	SMC1B
OLI096	KCNQ1	KCNH2
OLI097	BBS7	BBS4
OLI099	FGG	FGA
OLI100	MYO7A	C10orf105
OLI104	USH1C	CDH23
OLI109	BAAT	TJP2
OLI110	BAAT	TJP2
OLI111	GDAP1	MFN2
OLI113	NEUROD1	PDX1
OLI115	PSMA3	PSMB8
OLI116	PSMA3	PSMB8
OLI117	PSMB4	PSMB9
OLI118	ATP2B3	LAMA1
OLI119	PROKR2	ANOS1
OLI120	PDZD7	USH2A
OLI121	LZTS2	USH2A
OLI122	LZTS2	ADGRV1
OLI123	ITGA7	MYH7B
OLI125	BBS2	BBS4
OLI126	COL17A1	LAMB3
OLI131	POLG	TWNK
OLI133	COL4A5	COL4A3
OLI134	COL6A1	COL6A3
OLI135	GJB3	GJB2
OLI136	GJB3	GJB2
OLI146	BBS7	TTC8
OLI147	BBS1	BBS12
OLI149	ZIC3	FOXH1
OLI151	ZIC3	NKX2-5
OLI152	PROKR2	ANOS1
OLI153	LMBRD1	MTR
OLI154	COL4A4	COL4A3
OLI156	COL4A5	COL4A3
OLI157	COL4A4	COL4A3
OLI159	EDA	WNT10A
OLI160	EDA	WNT10A
OLI161	EDA	WNT10A
OLI162	EDA	WNT10A
OLI163	EDA	WNT10A
OLI164	EDA	WNT10A
OLI165	GNRHR	PROKR2
OLI166	SLC3A1	SLC7A9
OLI168	SCN1A	SCN2A
OLI169	MYOC	CYP1B1
OLI171	BBS2	MKKS
OLI172	BBS10	BBS2
OLI174	BBS2	BBS12
OLI178	SLC3A1	SLC7A9
OLI179	SLC3A1	SLC7A9
OLI182	AGXT2	SCAP
OLI183	TRPM4	SCN5A
OLI185	LRP5	EYS
OLI186	HAMP	HFE
OLI187	HAMP	HFE
OLI188	OGG1	MUTYH
OLI189	EMD	LMNA
OLI190	LMNA	DES
OLI191	RP1L1	PCARE
OLI192	GJB3	GJB2
OLI195	GNRHR	FGFR1
OLI197	FGF8	FGFR1
OLI198	GNRHR	FGFR1
OLI199	GNRHR	FGFR1
OLI200	TRIM54	TRIM63
OLI202	KCNQ1	SCN5A
OLI203	HNF4A	HNF1A
OLI205	PROKR2	ANOS1
OLI206	PROKR2	ANOS1
OLI209	PARK7	PINK1
OLI210	GDAP1	MFN2
OLI211	NPHP1	NPHP3
OLI214	INVS	NPHP3
OLI218	KCNE2	KCNH2
OLI220	TYR	OCA2
OLI221	RANBP2	CPT2
OLI222	PRPH2	ROM1
OLI223	PRPH2	ROM1
OLI225	BBS2	MKKS
OLI227	SEC23A	MAN1B1
OLI228	PINK1	PRKN
OLI229	PINK1	PRKN
OLI239	SIX1	PAX2
OLI240	KRT5	KRT14
OLI241	KCNJ10	SLC26A4
OLI242	KCNJ10	SLC26A4
OLI243	CDK5RAP2	CEP152
OLI244	CEP41	CEP290
OLI249	DPT	FOXC1
OLI250	KRT5	KRT14
OLI251	MITF	GJB2
OLI253	PITX2	FOXC1
OLI254	PDZD7	ADGRV1
OLI258	NOTCH2	HERC2
OLI259	MYO7A	PCDH15
OLI265	PCDH15	CDH23-AS1
OLI266	PCDH15	CDH23
OLI269	SOD1	DAO
OLI274	ANG	VAPB
OLI290	MAPK7	CNTNAP2
OLI291	RPGRIP1L	FBN2
OLI292	TTC26	FLNB
OLI293	PTK7	FLNB
OLI294	TTC26	FLNB
OLI295	IFT122	FLNB
OLI297	SLC39A8	FBN1
OLI298	OFD1	FLNB
OLI302	OTUD4	RNF216
OLI303	FZD4	LRP5
OLI304	FZD4	LRP5
OLI305	FZD4	LRP5
OLI306	FZD4	LRP5
OLI307	FZD4	LRP5
OLI309	FZD4	LRP5
OLI312	FZD4	ZNF408
OLI315	NDP	LRP5
OLI317	EPHA2	SLC26A4
OLI319	COL4A4	COL4A3
OLI320	CD2AP	NPHS2
OLI321	NPHS2	NPHS1
OLI326	PKD2	PKD1
OLI327	PKD2	PKD1
OLI356	FGFR1	IL17RD
OLI362	KCNQ1	KCNH2
OLI365	FGFR1	IL17RD
OLI368	FGFR1	DUSP6
OLI369	SPRY4	DUSP6
OLI370	SPRY4	DUSP6
OLI371	SPRY4	FGFR1
OLI372	FGFR1	FLRT3
OLI376	COL4A4	COL4A3
OLI377	COL4A4	COL4A3
OLI378	COL4A4	COL4A3
OLI379	COL4A4	COL4A3
OLI380	COL4A4	COL4A3
OLI381	COL4A4	COL4A3
OLI383	COL4A5	COL4A4
