Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
OLI001	2.059	-3	3.864	-3	32.668	0.651	0.031	0.019	0.006	-0.5	0.476	0.219	0.246	0.006	1.0
OLI002	5.079	-3	3.426	-3	6.027	0.032	0.015	0.745	0.654	-0.5	0.749	0.715	0.251	0.186	1.0
OLI007	4.206	4.206	3.635	3.635	5.0	0.025	0.053	0.111	0.022	-0.5	0.792	0.465	0.15	0.034	1.0
OLI008	3.756	-3	4.277	-3	24.212	0.763	0.722	0.006	0.025	-0.5	0.564	0.17	0.223	0.312	1.0
OLI009	2.913	-3	2.978	-3	4.722	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.201	1.0
OLI010	1.687	-3	3.898	-3	4.722	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.201	1.0
OLI011	2.567	-3	3.491	-3	4.722	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.201	1.0
OLI012	1.583	-3	3.491	-3	4.722	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.201	1.0
OLI013	3.505	-3	2.408	-3	18.677	0.745	0.072	0.021	0.016	-0.5	0.342	0.473	0.175	0.149	1.0
OLI014	1.08	-3	4.012	-3	17.218	0.086	0.008	0.638	0.0	-0.5	0.476	0.296	0.207	0.022	1.0
OLI015	4.413	-3	3.626	-3	1.111	0.742	0.617	0.006	0.056	-0.5	0.578	0.702	0.118	0.601	1.0
OLI016	3.144	2.767	3.421	-3	16.375	0.68	0.098	0.0	0.046	-0.5	0.329	0.591	0.315	0.006	0.385
OLI018	3.815	-3	3.888	-3	10.417	0.599	0.017	0.009	0.029	-0.5	0.694	0.55	0.295	0.17	1.0
OLI019	3.657	-3	3.701	-3	6.242	0.549	0.048	0.099	0.18	-0.5	0.639	0.792	0.042	0.026	1.0
OLI021	5.808	-3	3.987	-3	1.25	0.011	0.016	0.172	0.788	-0.5	0.806	0.751	0.238	0.237	2.0
OLI022	2.142	-3	3.504	-3	6.009	0.026	0.052	0.604	0.045	-0.5	0.627	0.596	0.235	0.121	1.0
OLI023	4.131	-3	3.906	-3	5.0	0.043	0.099	0.035	0.092	-0.5	0.651	0.707	0.06	0.782	2.0
OLI024	2.547	-3	3.766	-3	1.25	0.057	0.719	0.061	0.006	-0.5	0.051	0.562	0.287	0.525	1.0
OLI026	2.668	2.668	4.27	4.27	11.982	0.031	0.742	0.019	0.042	-0.5	0.112	0.498	0.686	0.051	1.0
OLI028	3.669	-3	4.324	-3	4.722	0.009	0.025	0.013	0.006	-0.5	0.123	0.532	0.837	0.014	1.0
OLI030	3.765	-3	3.838	-3	1.042	0.085	0.089	0.033	0.044	-0.5	0.214	0.755	0.885	0.941	1.0
OLI032	3.419	3.419	4.257	4.257	1.25	0.057	0.071	0.041	0.0	-0.5	0.581	0.241	0.199	0.976	1.0
OLI033	3.891	-3	2.082	-3	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI035	0.92	-3	1.995	-3	5.694	0.011	0.081	0.172	0.108	-0.5	0.806	0.761	0.238	0.223	1.0
OLI036	4.141	-3	3.714	-3	4.722	0.048	0.008	0.18	0.0	-0.5	0.792	0.296	0.132	0.068	1.0
OLI038	2.254	-3	8.561	3.721	1.757	0.178	0.755	0.717	0.041	-0.5	0.208	0.132	0.404	0.337	1.0
OLI039	2.254	-3	3.721	3.721	1.757	0.178	0.755	0.717	0.041	-0.5	0.208	0.132	0.404	0.337	1.0
OLI040	5.825	5.825	7.227	7.227	1.25	0.057	0.071	0.041	0.0	-0.5	0.581	0.241	0.199	0.976	1.0
OLI044	4.309	4.309	3.182	-3	1.111	0.733	0.723	0.016	0.0	-0.5	0.234	0.342	0.616	0.632	1.0
OLI046	4.839	4.309	2.905	-3	1.111	0.733	0.723	0.016	0.0	-0.5	0.234	0.342	0.616	0.632	1.0
OLI047	4.839	4.309	3.812	-3	1.111	0.733	0.723	0.016	0.0	-0.5	0.234	0.342	0.616	0.632	1.0
OLI048	5.542	4.309	7.567	-3	1.111	0.733	0.723	0.016	0.0	-0.5	0.234	0.342	0.616	0.632	1.0
OLI050	5.132	4.309	4.241	-3	1.111	0.733	0.723	0.016	0.0	-0.5	0.234	0.342	0.616	0.632	1.0
OLI052	2.738	-3	0.263	0.071	0.265	0.757	0.709	0.0	0.025	-0.5	0.539	0.146	0.271	0.052	1.0
OLI053	2.027	-3	1.47	-3	21.095	0.616	0.692	0.014	0.0	-0.5	0.473	0.492	0.147	0.288	1.0
